Account Manager,Sold To ID,Sold To Name,Ship To ID,Ship To ID.1,Ship To City,Street Address,State,Ship To Zip Code,Full Address,Ship To Trans. Zone,Latitude,Longitude,Route Name,Day,Total Orders,Total Deliveries,Avg. Deliveries,Avg. Lines,Avg. Revenue,Total Revenue,Avg. GP,Total GP,Quantity,Margin
Chuck Lutes (0000143024),243564,Grundy Hall,243564,Grundy Hall,Doylestown,1290 Almshouse Rd,PA,18901,"1290 Almshouse Rd Doylestown, PA 18901",1430003,40.274249,-75.129639,A,Tuesday,6,7,1.166666667,2.666666667,694.0316667,4164.19,262.16,1572.96,36,0.377734926
David Smith (0000143023),243627,HOLY FAMILY CHURCH,243627,HOLY FAMILY CHURCH,Newark,15 Gender Rd,DE,19713,"15 Gender Rd Newark, DE 19713",1430007,39.664637,-75.71874,D,Friday,6,6,1,3.333333333,293.9333333,1763.6,147.6033333,885.62,28,0.502166024
Bob Carberry (0000143011),243650,The Hun School of Princeton,243650,The Hun School of Princeton,Princeton,176 Edgerstoune Rd,NJ,8540,"176 Edgerstoune Rd Princeton, NJ 08540",1430005,40.336599,-74.684808,A,Wednesday,6,13,2.166666667,5,1870.226667,11221.36,692.9983333,4157.99,701,0.37054243
Paul Carberry (0000143018),243766,Willert Manufacturing Co LLC,243766,Willert Manufacturing Co LLC,Douglassville,447 Old Swede Rd,PA,19518,"447 Old Swede Rd Douglassville, PA 19518",1430016,40.268953,-75.723975,C,Wednesday,11,13,1.181818182,2.909090909,674.3690909,7418.06,268.6763636,2955.44,122,0.398411445
Leianne Krotec (0000143021),243823,Le Papillon Hair Salon,243823,Le Papillon Hair Salon,Jenkintown,1597 The Fairway,PA,19046,"1597 The Fairway Jenkintown, PA 19046",1430009,40.10596,-75.12175,E,Monday,9,9,1,2.444444444,170.7022222,1536.32,72.41777778,651.76,25,0.424234534
Delaware Valley Office (0000143001),243918,McGlinchey's Bar & Grill,243918,McGlinchey's Bar & Grill,Philadelphia,259 S 15th St,PA,19102,"259 S 15th St Philadelphia, PA 19102",1430009,39.94775,-75.166151,E,Monday,6,7,1.166666667,2.166666667,405.32,2431.92,167.505,1005.03,37,0.413266061
Nick Misciagno (0000143017),243948,Methacton School District,243948,Methacton School District,Eagleville,1001 Kriebel Mill Rd,PA,19403,"1001 Kriebel Mill Rd Eagleville, PA 19403",1430016,40.175551,-75.398491,C,Wednesday,8,8,1,1.75,0,0,-36.48,-291.84,14,0
Tom McKevitt (0000143010),243967,Milford Enterprises Inc.,243967,Milford Enterprises Inc.,Quakertown,2650 Milford Square Pike,PA,18951,"2650 Milford Square Pike Quakertown, PA 18951",1430015,40.440884,-75.37556,E,Tuesday/Friday,7,8,1.142857143,1.142857143,439.7142857,3078,148.8885714,1042.22,29,0.338602989
Chuck Lutes (0000143024),244062,Newtown Athletic & Aquatic Clu,244062,Newtown Athletic & Aquatic Clu,Newtown,120 Pheasant Run,PA,18940,"120 Pheasant Run Newtown, PA 18940",1430003,40.22291,-74.911809,A,Tuesday,13,18,1.384615385,4.076923077,975.08,12676.04,363.7607692,4728.89,235,0.373057359
Wood Floor Contractors (0000143025),244072,North Eastern Hardwood Floors,244072,North Eastern Hardwood Floors,West Berlin,447 Commerce Ln Ste A,NJ,8091,"447 Commerce Ln Ste A West Berlin, NJ 08091",1430011,39.810554,-74.923127,A,Thursday,25,31,1.24,1.84,10915.7496,272893.74,2372.9892,59324.73,1122,0.217391319
Tom McKevitt (0000143010),244074,North & Southampton Reformed C,244074,North & Southampton Reformed C,Churchville,1380 Bristol Rd,PA,18966,"1380 Bristol Rd Churchville, PA 18966",1430004,40.18117,-75.0156,A,Friday,8,8,1,1.625,136.4325,1091.46,44.75125,358.01,33,0.328010188
Paul Carberry (0000143018),244121,Longwood Gardens,244121,Longwood Gardens,Kennett Square,1001 Longwood Rd,PA,19348,"1001 Longwood Rd Kennett Square, PA 19348",1430007,39.873292,-75.676561,D,Friday,12,29,2.416666667,7.166666667,3395.39,40744.68,1233.86,14806.32,888,0.363392718
Chris Gifuni (0000143020),244164,Harrison Township School Distr,244164,Harrison Township School Distr,Mullica Hill,120 N MAIN ST,NJ,8062,"120 N MAIN ST Mullica Hill, NJ 08062",1430010,39.746042,-75.223511,E,Thursday,13,21,1.615384615,3.846153846,2742.517692,35652.73,871.7607692,11332.89,1397,0.317868786
Chris Gifuni (0000143020),244176,Springfield Township Board of,244176,Springfield Township Board of,Jobstown,2146 Jacksonville Jobstown Rd,NJ,8041,"2146 Jacksonville Jobstown Rd Jobstown, NJ 08041",1430017,40.03624,-74.70329,A,Monday,8,13,1.625,4,2121.87625,16975.01,510.42625,4083.41,355,0.240554203
John Carberry (0000143015),244210,Atlantic Cape Community Colleg,244210,Atlantic Cape Community Colleg,Mays Landing,5100 Black Horse Pike,NJ,8330,"5100 Black Horse Pike Mays Landing, NJ 08330",1430012,39.462098,-74.681916,E,Wednesday,7,7,1,1.714285714,540.61,3784.27,175.04,1225.28,60,0.323782394
Paul Carberry (0000143018),244248,The Easthill Grp dba The Eastw,244248,The Easthill Grp dba The Eastw,Pottstown,263 Shoemaker Rd,PA,19464,"263 Shoemaker Rd Pottstown, PA 19464",1430016,40.255548,-75.669039,C,Wednesday,8,9,1.125,4.5,1009.18375,8073.47,425.6275,3405.02,130,0.421754215
John Carberry (0000143015),244423,Estell Manor School District,244423,Estell Manor School District,Estell Manor,128 Cape May Ave,NJ,8319,"128 Cape May Ave Estell Manor, NJ 08319",1430010,39.378899,-74.825931,E,Thursday,6,9,1.5,2.833333333,699.3466667,4196.08,193.1516667,1158.91,73,0.276188729
Chris Gifuni (0000143020),244674,Medford Township Public School,244674,Medford Township Public School,Medford,137 Hartford Rd,NJ,8055,"137 Hartford Rd Medford, NJ 08055",1430011,39.905171,-74.84742,A,Thursday,7,7,1,2,148.8585714,1042.01,39.32428571,275.27,22,0.264172129
John Carberry (0000143015),244685,Middle Township Board of Educa,244685,Middle Township Board of Educa,Cape May Court House,216 S MAIN ST,NJ,8210,"216 S MAIN ST Cape May Court House, NJ 08210",1430010,39.078719,-74.825267,E,Thursday,9,13,1.444444444,2,4102.476667,36922.29,860.1811111,7741.63,656,0.209673615
Leianne Krotec (0000143021),244689,Ciocca Hyundai,244689,Ciocca Hyundai,Quakertown,550 S West End Blvd,PA,18951,"550 S West End Blvd Quakertown, PA 18951",1430015,40.429424,-75.350738,E,Tuesday/Friday,17,24,1.411764706,3,251.6164706,4277.48,73.49529412,1249.42,116,0.29209254
Tom McKevitt (0000143010),244718,Selective Interior Maintenance,244718,Selective Interior Maintenance,Roslyn,1508 THOMSON RD,PA,19001,"1508 THOMSON RD Roslyn, PA 19001",1430009,40.136025,-75.136004,E,Monday,10,12,1.2,1.8,69.969,699.69,25.84,258.4,34,0.369306407
Paul Carberry (0000143018),244752,Journal Register Company,244752,Journal Register Company,EXTON,390 Eagleview Blvd,PA,19341,"390 Eagleview Blvd EXTON, PA 19341",1430013,40.057485,-75.673405,C,Monday/Thursday,6,14,2.333333333,7,1483.586667,8901.52,654.7883333,3928.73,519,0.44135496
Leianne Krotec (0000143021),244896,Oliver Healthcare Packaging,244896,Oliver Healthcare Packaging,New Britain,97 Britain Dr,PA,18901,"97 Britain Dr New Britain, PA 18901",1430003,40.295901,-75.185512,A,Tuesday,14,15,1.071428571,1.142857143,259.1542857,3628.16,87.165,1220.31,44,0.336344042
Bob Carberry (0000143011),245170,Christian Life Church,245170,Christian Life Church,Bensalem,3100 Galloway Rd,PA,19020,"3100 Galloway Rd Bensalem, PA 19020",1430003,40.129917,-74.943909,A,Tuesday,26,35,1.346153846,3.807692308,613.9219231,15961.97,149.7619231,3893.81,354,0.243942947
Leianne Krotec (0000143021),245283,Pinecrest Golf Club,245283,Pinecrest Golf Club,Lansdale,101 Country Club Dr,PA,19446,"101 Country Club Dr Lansdale, PA 19446",1430019,40.255632,-75.239473,C,Tuesday,13,14,1.076923077,2.153846154,396.6223077,5156.09,169.0523077,2197.68,85,0.426229953
Tom McKevitt (0000143010),245302,Boathouse Sports Inc.,245302,Boathouse Sports Inc.,Philadelphia,425 E Hunting Park Ave,PA,19124,"425 E Hunting Park Ave Philadelphia, PA 19124",1430009,40.013978,-75.117612,E,Monday,26,28,1.076923077,2.269230769,423.0607692,10999.58,112.4934615,2924.83,200,0.265903789
Tom McKevitt (0000143010),245422,Ron Reid Janitorial Services,245422,Ron Reid Janitorial Services,Hatboro,237 Jacksonville Rd Apt 5A,PA,19040,"237 Jacksonville Rd Apt 5A Hatboro, PA 19040",1430004,40.181999,-75.098839,A,Friday,13,13,1,1.384615385,46.85307692,609.09,18.38307692,238.98,29,0.392355809
Bob Carberry (0000143011),245430,Manville School District,245430,Manville School District,Manville,1100 Brooks Blvd,NJ,8835,"1100 Brooks Blvd Manville, NJ 08835",1430005,40.544477,-74.598236,A,Wednesday,6,7,1.166666667,2.666666667,2890.406667,17342.44,896.28,5377.68,282,0.310087854
Chris Gifuni (0000143020),245453,New Hanover Township BOE,245453,New Hanover Township BOE,Wrightstown,122 Fort Dix St,NJ,8562,"122 Fort Dix St Wrightstown, NJ 08562",1430017,40.035014,-74.618956,A,Monday,12,16,1.333333333,2.916666667,1365.624167,16387.49,456.4583333,5477.5,107,0.334248869
Paul Carberry (0000143018),245576,Brandywine Home Assoc / VFW,245576,Brandywine Home Assoc / VFW,Downingtown,4601 W Lincoln Hwy,PA,19335,"4601 W Lincoln Hwy Downingtown, PA 19335",1430013,39.999966,-75.727404,C,Monday/Thursday,11,14,1.272727273,2.818181818,371.85,4090.35,142.9372727,1572.31,68,0.384394978
Tom McKevitt (0000143010),245667,TruMark Financial,245667,TruMark Financial,Fort Washington,335 Commerce Dr,PA,19034,"335 Commerce Dr Fort Washington, PA 19034",1430013,40.13471,-75.198196,C,Monday/Thursday,8,12,1.5,7.125,1452.0875,11616.7,327.82875,2622.63,330,0.225763771
Nick Misciagno (0000143017),245745,Archbishop Carroll High School,245745,ARCHBISHOP CARROLL HIGH SCHOOL,Radnor,211 W Matsonford Rd,PA,19087,"211 W Matsonford Rd Radnor, PA 19087",1430002,40.04635,-75.353767,C,Friday,7,15,2.142857143,7.571428571,2353.005714,16471.04,795.1157143,5565.81,351,0.33791491
Paul Carberry (0000143018),245918,Covenant Fellowship Church,245918,Covenant Fellowship Church,Glen Mills,1 Fellowship Rd,PA,19342,"1 Fellowship Rd Glen Mills, PA 19342",1430002,39.879427,-75.519986,C,Friday,9,21,2.333333333,7.777777778,1251.457778,11263.12,474.73,4272.57,297,0.379341603
Leianne Krotec (0000143021),246033,Pinecrest Country Club Banquet,246033,Pinecrest Country Club Banquet,Lansdale,101 Country Club Dr,PA,19446,"101 Country Club Dr Lansdale, PA 19446",1430019,40.255632,-75.239473,C,Tuesday,13,15,1.153846154,1.538461538,246.7230769,3207.4,76.70153846,997.12,65,0.310881087
Chris Gifuni (0000143020),246141,Roman Catholic High School,246141,Roman Catholic High School,Philadelphia,301 N Broad St,PA,19107,"301 N Broad St Philadelphia, PA 19107",1430009,39.95814,-75.161949,E,Monday,13,24,1.846153846,5.846153846,1197.186154,15563.42,445.9753846,5797.68,560,0.372519665
Chuck Lutes (0000143024),246234,Morrisville School District,246234,Morrisville School District,Morrisville,550 W Palmer St,PA,19067,"550 W Palmer St Morrisville, PA 19067",1430003,40.208802,-74.789079,A,Tuesday,19,31,1.631578947,5.105263158,2480.63,47131.97,966.4652632,18362.84,722,0.389604763
Paul Carberry (0000143018),246241,Scott Honda of West Chester,246241,Scott Honda of West Chester,West Chester,706 Autopark Blvd,PA,19382,"706 Autopark Blvd West Chester, PA 19382",1430002,39.954438,-75.586223,C,Friday,23,31,1.347826087,2.869565217,565.7504348,13012.26,125.7621739,2892.53,271,0.222292669
Chris Gifuni (0000143020),246269,Shamong Township Public School,246269,Shamong Township Public School,Shamong,295 Indian Mills Rd,NJ,8088,"295 Indian Mills Rd Shamong, NJ 08088",1430011,39.818153,-74.7653,A,Thursday,6,6,1,1,158.1266667,948.76,66.73333333,400.4,32,0.422024537
Tom McKevitt (0000143010),246395,Tinius Olsen Testing Machine C,246395,Tinius Olsen Testing Machine C,Horsham,1065 Easton Rd,PA,19044,"1065 Easton Rd Horsham, PA 19044",1430004,40.198192,-75.139306,A,Friday,10,18,1.8,2.7,800.039,8000.39,217.143,2171.43,125,0.271415518
Tom McKevitt (0000143010),246418,"Tri-Century Eye Care, P.C.",246418,"Tri-Century Eye Care, P.C.",Southampton,319 2nd Street Pike,PA,18966,"319 2nd Street Pike Southampton, PA 18966",1430004,40.165638,-75.04553,A,Friday,9,10,1.111111111,1.444444444,260.4066667,2343.66,96.35666667,867.21,33,0.370023809
Chuck Lutes (0000143024),246467,Upper Bucks Co Tech School,246467,Upper Bucks Co Tech School,Perkasie,3115 Ridge Rd,PA,18944,"3115 Ridge Rd Perkasie, PA 18944",1430015,40.430525,-75.234277,E,Tuesday/Friday,12,20,1.666666667,3,1307.228333,15686.74,242.2591667,2907.11,332,0.185322763
Leianne Krotec (0000143021),246473,Upper Moreland School District,246473,Upper Moreland School District,WILLOW GROVE,2900 Terwood Rd,PA,19090,"2900 Terwood Rd WILLOW GROVE, PA 19090",1430004,40.157426,-75.108329,A,Friday,6,7,1.166666667,2.833333333,466.4716667,2798.83,198.6616667,1191.97,65,0.425881529
Tom McKevitt (0000143010),246511,Warminster Township Police Dep,246511,Warminster Township Police Dep,Warminster,401 Gibson Ave,PA,18974,"401 Gibson Ave Warminster, PA 18974",1430004,40.2053,-75.10799,A,Friday,6,6,1,3.5,442.3433333,2654.06,181.8983333,1091.39,48,0.41121527
Tom McKevitt (0000143010),246514,Warminster Township Parks & Re,246514,Warminster Township Parks & Re,Warminster,1100 Veterans Way,PA,18974,"1100 Veterans Way Warminster, PA 18974",1430019,40.199826,-75.06548,C,Tuesday,7,10,1.428571429,1.857142857,693.7042857,4855.93,276.2357143,1933.65,73,0.398203846
Paul Carberry (0000143018),246526,Westminster Presbyterian Churc,246526,WESTMINSTER PRESBYTERIAN CHURC,West Chester,10 W Pleasant Grove Rd,PA,19382,"10 W Pleasant Grove Rd West Chester, PA 19382",1430002,39.925927,-75.583779,C,Friday,7,9,1.285714286,8.142857143,1067.791429,7474.54,417.9257143,2925.48,205,0.391392648
Leianne Krotec (0000143021),246567,Windcrest Animal Hospital,246567,Windcrest Animal Hospital,Wilmington,3705 Lancaster Pike,DE,19805,"3705 Lancaster Pike Wilmington, DE 19805",1430006,39.755454,-75.594253,D,Tuesday,10,16,1.6,3.1,445.169,4451.69,140.259,1402.59,83,0.315069109
Leianne Krotec (0000143021),246590,Ye Olde Ale House,246590,Ye Olde Ale House,Lafayette Hill,405 Germantown Pike,PA,19444,"405 Germantown Pike Lafayette Hill, PA 19444",1430013,40.092891,-75.260932,C,Monday/Thursday,8,8,1,1.625,451.7525,3614.02,197.1925,1577.54,51,0.436505609
Tom McKevitt (0000143010),246720,SnapCab by Bostock,246720,SnapCab by Bostock,Warrington,175 Titus Ave Ste 200,PA,18976,"175 Titus Ave Ste 200 Warrington, PA 18976",1430003,40.218958,-75.142737,A,Tuesday,29,34,1.172413793,1.689655172,385.7603448,11187.05,136.9589655,3971.81,256,0.355036404
Paul Carberry (0000143018),251656,Montgomery School,251656,Montgomery School,Chester Springs,1141 Kimberton Rd,PA,19425,"1141 Kimberton Rd Chester Springs, PA 19425",1430013,40.091198,-75.626737,C,Monday/Thursday,10,13,1.3,2.1,885.764,8857.64,342.048,3420.48,156,0.386161551
Chuck Lutes (0000143024),254632,Fred Beans Ford Lincoln-Main,254632,Fred Beans Ford Lincoln-Main,Doylestown,876 N Easton Rd,PA,18902,"876 N Easton Rd Doylestown, PA 18902",1430003,40.33912,-75.13056,A,Tuesday,10,11,1.1,1,3090.673,30906.73,1504.485,15044.85,77,0.486782329
Paul Carberry (0000143018),254929,Closets by Design - Custom Sto,254929,Closets by Design - Custom Sto,Malvern,60 Three Tun Rd Ste 1,PA,19355,"60 Three Tun Rd Ste 1 Malvern, PA 19355",1430013,40.035835,-75.553237,C,Monday/Thursday,13,20,1.538461538,4.230769231,876.7376923,11397.59,340.8115385,4430.55,122,0.388726915
Open S. NJ (0000143012),260316,McLane New Jersey Inc,260316,McLane New Jersey Inc,Carneys Point,742 Courses Landing Rd,NJ,8069,"742 Courses Landing Rd Carneys Point, NJ 08069",1430006,39.684976,-75.436821,D,Tuesday,6,9,1.5,7.5,604.8516667,3629.11,235.3316667,1411.99,252,0.389073354
Chuck Lutes (0000143024),265138,Congregation Kol Emet,265138,Congregation Kol Emet,Yardley,1360 Oxford Valley Rd,PA,19067,"1360 Oxford Valley Rd Yardley, PA 19067",1430003,40.216277,-74.854665,A,Tuesday,7,9,1.285714286,3.714285714,586.5657143,4105.96,266.1471429,1863.03,93,0.453737981
David Smith (0000143023),266314,Academy of Dover Charter Schoo,266314,Academy of Dover Charter Schoo,Dover,104 Saulsbury Rd,DE,19904,"104 Saulsbury Rd Dover, DE 19904",1430008,39.161809,-75.544465,D,Wednesday,14,16,1.142857143,1.857142857,392.7507143,5498.51,132.8821429,1860.35,120,0.338337113
Tom McKevitt (0000143010),266748,Elite Air Systems,266748,Elite Air Systems,Warminster,57 Ash Cir,PA,18974,"57 Ash Cir Warminster, PA 18974",1430004,40.188827,-75.092368,A,Friday,11,11,1,1.545454545,162.5172727,1787.69,73.11181818,804.23,19,0.449871063
Delaware Valley Office (0000143001),266867,All Jersey Janitorial Service,266867,All Jersey Janitorial Service,Freehold,1719 Ginesi Dr,NJ,7728,"1719 Ginesi Dr Freehold, NJ 07728",1430005,40.25755,-74.26017,A,Wednesday,6,8,1.333333333,2.833333333,593.74,3562.44,225.6216667,1353.73,164,0.380000786
Delaware Valley Office (0000143001),268915,Eagle Design Group LLC,268915,Eagle Design Group LLC,Chester Springs,45 Senn Dr,PA,19425,"45 Senn Dr Chester Springs, PA 19425",1430013,40.074642,-75.679427,C,Monday/Thursday,6,6,1,1.5,125.7466667,754.48,47.035,282.21,10,0.3740457
Nick Misciagno (0000143017),269078,Tyler Professional Services,269078,Tyler Professional Services,Royersford,174 Jordan Ct,PA,19468,"174 Jordan Ct Royersford, PA 19468",1430016,40.22805,-75.539027,C,Wednesday,9,12,1.333333333,2.111111111,890.8766667,8017.89,334.1366667,3007.23,119,0.375065011
Leianne Krotec (0000143021),269945,Ciocca Volkswagon of Allentown,269945,Ciocca Volkswagon of Allentown,Allentown,1346 Lehigh St,PA,18103,"1346 Lehigh St Allentown, PA 18103",1430015,40.582905,-75.477539,E,Tuesday/Friday,9,10,1.111111111,3.222222222,567.2255556,5105.03,167.5066667,1507.56,97,0.295308745
Leianne Krotec (0000143021),270093,St Dorothy Parish,270093,St Dorothy Parish,Drexel Hill,4910 Township Line Rd,PA,19026,"4910 Township Line Rd Drexel Hill, PA 19026",1430001,39.95645,-75.319986,D,Monday,6,7,1.166666667,1.333333333,0,0,-48.24833333,-289.49,11,0
David Smith (0000143023),271271,St Anne's Episcopal School,271271,St Anne's Episcopal School,MIDDLETOWN,211 Silver Lake Rd,DE,19709,"211 Silver Lake Rd MIDDLETOWN, DE 19709",1430018,39.439293,-75.69901,D,Thursday,6,8,1.333333333,2.666666667,574.6333333,3447.8,173.8283333,1042.97,62,0.302503045
David Smith (0000143023),271622,Holy Cross Catholic School,271622,Holy Cross Catholic School,Dover,631 S State St,DE,19901,"631 S State St Dover, DE 19901",1430008,39.150755,-75.520731,D,Wednesday,14,22,1.571428571,3.357142857,1508.007857,21112.11,572.705,8017.87,254,0.379775873
Nick Misciagno (0000143017),272447,Hill Top Preparatory School,272447,Hill Top Preparatory School,Bryn Mawr,737 S Ithan Ave,PA,19010,"737 S Ithan Ave Bryn Mawr, PA 19010",1430002,40.015651,-75.354084,C,Friday,10,14,1.4,4.9,591.065,5910.65,299.569,2995.69,85,0.506829198
Tom McKevitt (0000143010),272530,St Ephrem Church and School,272530,St Ephrem Church and School,Bensalem,5400 Hulmeville Rd,PA,19020,"5400 Hulmeville Rd Bensalem, PA 19020",1430003,40.125867,-74.927804,A,Tuesday,8,10,1.25,3,724.61,5796.88,270.34375,2162.75,140,0.373088627
Open S. NJ (0000143012),272878,UMC The Shores,272878,UMC The Shores,Ocean City,2201 Bay Ave,NJ,8226,"2201 Bay Ave Ocean City, NJ 08226",1430010,39.266444,-74.597999,E,Thursday,9,9,1,1.555555556,1175.477778,10579.3,261.6955556,2355.26,18,0.222629096
Nick Misciagno (0000143017),274439,Church of the Saviour,274439,Church of the Saviour,Wayne,651 N Wayne Ave,PA,19087,"651 N Wayne Ave Wayne, PA 19087",1430002,40.054325,-75.39025,C,Friday,9,10,1.111111111,4.666666667,984.9433333,8864.49,289.6155556,2606.54,150,0.294042861
Paul Carberry (0000143018),279103,St Agnes Parish,279103,St Agnes Parish,West Chester,233 W Gay St,PA,19380,"233 W Gay St West Chester, PA 19380",1430002,39.959241,-75.608983,C,Friday,19,35,1.842105263,4.789473684,1173.515263,22296.79,428.9578947,8150.2,625,0.365532438
Paul Carberry (0000143018),279123,Western Montgomery Career &,279123,Western Montgomery Career &,Limerick,77 Gratersford Rd,PA,19468,"77 Gratersford Rd Limerick, PA 19468",1430016,40.23509,-75.50849,C,Wednesday,18,29,1.611111111,6.333333333,2025.086111,36451.55,744.4361111,13399.85,580,0.367607139
Tom McKevitt (0000143010),279782,Bethany Wesleyan Church,279782,Bethany Wesleyan Church,Cherryville,675 Blue Mountain Dr,PA,18035,"675 Blue Mountain Dr Cherryville, PA 18035",1430014,40.756924,-75.537764,E,Tuesday,11,13,1.181818182,1.727272727,411.0836364,4521.92,204.6836364,2251.52,87,0.497912391
Nick Misciagno (0000143017),279804,Fred Beans VW of Devon,279804,Fred Beans VW of Devon,Devon,315 W Lancaster Ave,PA,19333,"315 W Lancaster Ave Devon, PA 19333",1430002,40.045365,-75.430081,C,Friday,10,10,1,1,127.738,1277.38,35.408,354.08,22,0.277192378
Delaware Valley Office (0000143001),281483,Bermuda Janitorial Supply,281483,Bermuda Janitorial Supply,Salem,103 Tilbury Rd,NJ,8079,"103 Tilbury Rd Salem, NJ 08079",1430006,39.57389,-75.48055,D,Tuesday,6,6,1,1.666666667,2424.078333,14544.47,865.6433333,5193.86,326,0.357102046
Paul Carberry (0000143018),282370,Bishop Shanahan,282370,Bishop Shanahan,Downingtown,220 Woodbine Rd,PA,19335,"220 Woodbine Rd Downingtown, PA 19335",1430013,40.008903,-75.688133,C,Monday/Thursday,10,34,3.4,9.8,5604.387,56043.87,2202.809,22028.09,982,0.393050837
Paul Carberry (0000143018),283059,ST JOSEPH PARISH,283059,St Joseph Parish,Downingtown,332 Manor Ave,PA,19335,"332 Manor Ave Downingtown, PA 19335",1430013,40.008268,-75.715478,C,Monday/Thursday,10,18,1.8,3.5,3765.756,37657.56,1328.392,13283.92,278,0.352755728
Tom McKevitt (0000143010),284104,Multi Flow Industries L.P.,284104,Multi Flow Industries L.P.,Huntingdon Valley,1434 County Line Rd,PA,19006,"1434 County Line Rd Huntingdon Valley, PA 19006",1430004,40.161365,-75.055143,A,Friday,10,15,1.5,3.6,748.351,7483.51,309.883,3098.83,263,0.414087774
Bob Carberry (0000143011),284279,Stuart Country Day School of,284279,Stuart Country Day School of,Princeton,1200 Stuart Rd,NJ,8540,"1200 Stuart Rd Princeton, NJ 08540",1430005,40.367341,-74.686345,A,Wednesday,8,13,1.625,3.875,1623.96625,12991.73,560.68125,4485.45,174,0.34525425
Chuck Lutes (0000143024),284678,Holy Family Regional Catholic,284678,Holy Family Regional Catholic,Levittown,2477 Trenton Rd,PA,19056,"2477 Trenton Rd Levittown, PA 19056",1430003,40.164416,-74.879622,A,Tuesday,6,8,1.333333333,4.333333333,1138.193333,6829.16,367.7566667,2206.54,169,0.323105624
Nick Misciagno (0000143017),285568,Meadowood Corporation,285568,Meadowood Corporation,Worcester,3205 Skippack Pike,PA,19490,"3205 Skippack Pike Worcester, PA 19490",1430016,40.206841,-75.355317,C,Wednesday,9,12,1.333333333,6,954.5033333,8590.53,208.33,1874.97,563,0.218260107
Leianne Krotec (0000143021),292196,St Peters Evangelical Lutheran,292196,St Peters Evangelical Lutheran,North Wales,211 S Main St,PA,19454,"211 S Main St North Wales, PA 19454",1430019,40.210194,-75.274989,C,Tuesday,6,8,1.333333333,4,345.6366667,2073.82,150.7783333,904.67,42,0.436233617
