Account Manager,Sold To ID,Sold To Name,Ship To ID,Ship To ID.1,Ship To City,Street Address,State,Ship To Zip Code,Full Address,Ship To Trans. Zone,Latitude,Longitude,Route Name,Day,Total Orders,Total Deliveries,Avg. Deliveries,Avg. Lines,Avg. Revenue,Total Revenue,Avg. GP,Total GP,Quantity,Margin,Cluster
Pete Annick (0000142010),239466,CALVARY FELLOWSHIP HOMES APN#,239466,CALVARY FELLOWSHIP HOMES APN#,Lancaster,502 Elizabeth Dr,PA,17601,"502 Elizabeth Dr Lancaster, PA 17601",1430025,40.061166,-76.294877,J,Tuesday/Friday,27,46,1.703703704,10.7037037,1835.839259,49567.66,465.2803704,12562.57,1237.0,0.25344287,17
Mike Schlitter (0000142011),239504,CASSELS SIGN SHOP,239504,CASSELS SIGN SHOP,Manheim,784 Fruitville Pike,PA,17545,"784 Fruitville Pike Manheim, PA 17545",1430035,40.13678,-76.349352,P,Tuesday/Friday,7,7,1.0,1.0,73.04428571,511.31,26.17428571,183.22,7.0,0.358334474,28
Robert Diller (0000142017),239535,CHAPMAN FORD#,239535,CHAPMAN FORD#,Lancaster,1485 Manheim Pike,PA,17601,"1485 Manheim Pike Lancaster, PA 17601",1430025,40.074252,-76.335404,J,Tuesday/Friday,7,9,1.285714286,5.571428571,847.2957143,5931.07,328.2742857,2297.92,102.0,0.38743768,6
Robert Diller (0000142017),239536,CHAPMAN FORD LLC#,239536,CHAPMAN FORD LLC#,Columbia,3951 Columbia Ave,PA,17512,"3951 Columbia Ave Columbia, PA 17512",1430040,40.038134,-76.450134,L,Tuesday/Friday,7,10,1.428571429,8.142857143,677.9028571,4745.32,279.1385714,1953.97,107.0,0.411767805,15
Mike Schlitter (0000142011),239653,COLUMBIA BORO SCHOOL DIST,239653,COLUMBIA BORO SCHOOL DIST,Columbia,200 N 5th St,PA,17512,"200 N 5th St Columbia, PA 17512",1430040,40.035976,-76.502403,L,Tuesday/Friday,11,11,1.0,1.090909091,130.4809091,1435.29,15.05,165.55,39.0,0.115342544,21
Brad Miller (0000142022),239751,CURTS CLEANING V,239751,CURTS CLEANING V,Quarryville,14 Fawn Dr,PA,17566,"14 Fawn Dr Quarryville, PA 17566",1430025,39.872438,-76.225247,J,Tuesday/Friday,11,18,1.636363636,2.727272727,264.2890909,2907.18,115.7345455,1273.08,52.0,0.437908901,36
Pete Annick (0000142010),239777,DART CONTAINER,239777,DART CONTAINER,Leola,60 E Main St,PA,17540,"60 E Main St Leola, PA 17540",1430024,40.08559,-76.1808,J,Monday/Thursday,19,37,1.947368421,3.578947368,1150.945789,21867.97,413.3921053,7854.45,980.0,0.359176,31
Mike Schlitter (0000142011),239793,DAYSPRING CHRISTIAN ACADEMY,239793,Dayspring Christian Academy,Mountville,120 College Ave,PA,17554,"120 College Ave Mountville, PA 17554",1430040,40.042866,-76.426609,L,Tuesday/Friday,27,44,1.62962963,5.259259259,873.3662963,23580.89,345.9825926,9341.53,549.0,0.396148322,6
Mike Schlitter (0000142011),239862,DOVE WESTGATE CHURCH#,239862,DOVE WESTGATE CHURCH#,Ephrata,1755 W Main St,PA,17522,"1755 W Main St Ephrata, PA 17522",1430024,40.204772,-76.211579,J,Monday/Thursday,9,10,1.111111111,1.666666667,145.6133333,1310.52,50.75222222,456.77,22.0,0.348541037,21
Robert Diller (0000142017),239896,DUTCH APPLE DINNER THEATRE#,239896,DUTCH APPLE DINNER THEATRE#,Lancaster,510 CENTERVILLE RD,PA,17601,"510 CENTERVILLE RD Lancaster, PA 17601",1430025,40.053512,-76.399519,J,Tuesday/Friday,12,12,1.0,2.75,409.3125,4911.75,165.3908333,1984.69,108.0,0.404069833,24
Mike Schlitter (0000142011),239898,DUTCH GOLD HONEY INC#,239898,DUTCH GOLD HONEY INC#,Lancaster,2220 Dutch Gold Dr,PA,17601,"2220 Dutch Gold Dr Lancaster, PA 17601",1430025,40.055542,-76.36337,J,Tuesday/Friday,10,10,1.0,1.2,2116.799,21167.99,577.711,5777.11,21.0,0.272917268,26
Brad Miller (0000142022),239904,DUTCHWAY FARM MARKET#,239904,DUTCHWAY FARM MARKET#,Schaefferstown,2495 Stiegel Pike,PA,17088,"2495 Stiegel Pike Schaefferstown, PA 17088",1430027,40.302209,-76.307145,K,Tuesday,14,16,1.142857143,1.571428571,135.1935714,1892.71,9.8,137.2,72.0,0.072488654,21
Brad Miller (0000142022),239922,East Fairview Church of Brethr,239922,East Fairview Church of Brethr,Manheim,1187 Fairview Rd,PA,17545,"1187 Fairview Rd Manheim, PA 17545",1430035,40.163252,-76.445222,P,Tuesday/Friday,9,12,1.333333333,3.555555556,493.5355556,4441.82,185.1477778,1666.33,109.0,0.375145774,8
Matthew Morris (0000142013),239932,EAST PENN MFG CO INC#,239932,EAST PENN MFG CO INC#,Lyon Station,102 Deka Rd,PA,19536,"102 Deka Rd Lyon Station, PA 19536",1430041,40.475554,-75.762447,K,All,7,7,1.0,2.0,612.66,4288.62,174.7442857,1223.21,84.0,0.285222286,15
Matthew Morris (0000142013),239958,ELECTRO SPACE FABRICATORS,239958,ELECTRO SPACE FABRICATORS,Topton,300 W High St,PA,19562,"300 W High St Topton, PA 19562",1430026,40.505113,-75.707582,K,Monday,8,10,1.25,5.0,1510.71125,12085.69,508.57125,4068.57,184.0,0.336643584,3
Brad Miller (0000142022),239966,ELIZABETHTOWN BRETHREN IN CHRI,239966,ELIZABETHTOWN BRETHREN IN CHRI,ELIZABETHTOWN,996 E High St,PA,17022,"996 E High St ELIZABETHTOWN, PA 17022",1430034,40.161842,-76.581665,P,Monday/Thursday,10,14,1.4,4.5,369.058,3690.58,122.834,1228.34,69.0,0.332831154,24
Robert Diller (0000142017),239985,ENVIRONMENTAL CLEANING SOLUTIO,239985,Environmental Cleaning Solutio,Annville,110 Landing Dr,PA,17003,"110 Landing Dr Annville, PA 17003",1430035,40.29292,-76.54998,P,Tuesday/Friday,6,6,1.0,2.166666667,678.4566667,4070.74,217.6183333,1305.71,42.0,0.320754949,15
Robert Diller (0000142017),239986,EPHRATA AREA REHAB SERV#,239986,EPHRATA AREA REHAB SERV#,Ephrata,300 W Chestnut St,PA,17522,"300 W Chestnut St Ephrata, PA 17522",1430029,40.183609,-76.175785,K,Monday/Thursday,10,17,1.7,7.5,1203.645,12036.45,420.599,4205.99,390.0,0.34943775,12
Andrew Clippinger (0000142012),239994,EPHRATA MANOR#,239994,EPHRATA MANOR#,Ephrata,99 Bethany Rd,PA,17522,"99 Bethany Rd Ephrata, PA 17522",1430029,40.166135,-76.172785,K,Monday/Thursday,19,44,2.315789474,9.526315789,2028.945789,38549.97,462.5789474,8789.0,1889.0,0.227989801,26
Robert Diller (0000142017),239999,EPHRATA REC CENTER#,239999,EPHRATA REC CENTER#,Ephrata,130 S Academy Dr,PA,17522,"130 S Academy Dr Ephrata, PA 17522",1430029,40.185971,-76.192803,K,Monday/Thursday,23,28,1.217391304,2.782608696,750.9086957,17270.9,278.5078261,6405.68,442.0,0.370894395,34
Robert Diller (0000142017),240040,FAITH EVANG CONG CHURCH,240040,FAITH EVANG CONG CHURCH,Lancaster,2124 Old Philadelphia Pike,PA,17602,"2124 Old Philadelphia Pike Lancaster, PA 17602",1430024,40.039505,-76.234322,J,Monday/Thursday,8,10,1.25,3.125,258.81,2070.48,93.16875,745.35,38.0,0.359988988,36
Robert Diller (0000142017),240050,FARM & HOME CENTER#,240050,FARM & HOME CENTER#,Lancaster,1383 Arcadia Rd,PA,17601,"1383 Arcadia Rd Lancaster, PA 17601",1430025,40.070067,-76.325703,J,Tuesday/Friday,8,9,1.125,4.0,892.1375,7137.1,292.8825,2343.06,171.0,0.328293004,6
Robert Diller (0000142017),240091,FIRST PRESBYTERIAN CHURCH,240091,FIRST PRESBYTERIAN CHURCH,Strasburg,101 S Decatur St,PA,17579,"101 S Decatur St Strasburg, PA 17579",1430021,39.981138,-76.17882,J,Monday,11,13,1.181818182,2.636363636,233.4545455,2568.0,78.29181818,861.21,66.0,0.33536215,0
Mike Schlitter (0000142011),240093,FIRST UNITED METHODIST CHURCH#,240093,FIRST UNITED METHODIST CHURCH#,Lancaster,29 E Walnut St,PA,17602,"29 E Walnut St Lancaster, PA 17602",1430024,40.043091,-76.305162,J,Monday/Thursday,12,14,1.166666667,3.416666667,833.8191667,10005.83,379.9516667,4559.42,125.0,0.455676341,6
Andrew Clippinger (0000142012),240117,SUNRISE LOGISTICS#,240117,SUNRISE LOGISTICS#,Ephrata,820 N Reading Rd,PA,17522,"820 N Reading Rd Ephrata, PA 17522",1430029,40.20686,-76.14612,K,Monday/Thursday,8,12,1.5,3.0,1799.6825,14397.46,822.935,6583.48,205.0,0.457266768,17
Pete Annick (0000142010),240154,BBS GROCERY OUTLET#,240154,BBS GROCERY OUTLET#,Quarryville,581 Camargo Rd,PA,17566,"581 Camargo Rd Quarryville, PA 17566",1430025,39.916902,-76.184399,J,Tuesday/Friday,7,9,1.285714286,1.571428571,1172.08,8204.56,369.6042857,2587.23,54.0,0.315340494,31
Brad Miller (0000142022),240170,GARROD HYDRAULICS#,240170,GARROD HYDRAULICS#,York,1050 Locust Point Rd,PA,17406,"1050 Locust Point Rd York, PA 17406",1430040,40.062599,-76.747211,L,Tuesday/Friday,6,8,1.333333333,4.833333333,513.3333333,3080.0,205.1533333,1230.92,62.0,0.399649351,8
Martin Carberry (0000142016),240202,GETTYSBURG COLLEGE,240202,GETTYSBURG COLLEGE,Gettysburg,300 N Washington St,PA,17325,"300 N Washington St Gettysburg, PA 17325",1430039,39.834147,-77.23369,L,Thursday,6,7,1.166666667,1.5,171.7166667,1030.3,71.57333333,429.44,17.0,0.416810638,0
Martin Carberry (0000142016),240204,GETTYSBURG SCHOOL DISTRICT***,240204,GETTYSBURG SCHOOL DISTRICT***,Gettysburg,900 Biglerville Rd,PA,17325,"900 Biglerville Rd Gettysburg, PA 17325",1430039,39.849546,-77.234337,L,Thursday,12,17,1.416666667,3.916666667,6585.285833,79023.43,2516.21,30194.52,1049.0,0.382095791,7
Robert Diller (0000142017),240218,GLICK FIRE EQUIPMENT CO INC,240218,GLICK FIRE EQUIPMENT CO INC,Bird in Hand,350 Mill Creek Rd,PA,17505,"350 Mill Creek Rd Bird in Hand, PA 17505",1430021,40.042729,-76.198098,J,Monday,6,6,1.0,1.166666667,528.685,3172.11,165.275,991.65,38.0,0.312615262,8
Martin Carberry (0000142016),240272,GREENCASTLE ANTRIM SCHOOL DIST,240272,GREENCASTLE ANTRIM SCHOOL DIST,Greencastle,500 Leitersburg St,PA,17225,"500 Leitersburg St Greencastle, PA 17225",1430036,39.780793,-77.720669,L,Monday,10,17,1.7,5.5,5558.291,55582.91,2149.29,21492.9,821.0,0.386681806,16
Brian Deiling (0000142018),240274,GREENWOOD SCHOOL DISTRICT,240274,GREENWOOD SCHOOL DISTRICT,Millerstown,405 E Sunbury St,PA,17062,"405 E Sunbury St Millerstown, PA 17062",1430038,40.551863,-77.152263,L,Wednesday,6,10,1.666666667,6.5,3090.666667,18544.0,1354.81,8128.86,234.0,0.438355263,20
Robert Diller (0000142017),240356,HEMPFIELD AREA RECREATION#,240356,HEMPFIELD AREA RECREATION#,Landisville,1251 Stony Battery Road,PA,17538,"1251 Stony Battery Road Landisville, PA 17538",1430025,40.068689,-76.413719,J,Tuesday/Friday,6,7,1.166666667,1.333333333,140.6933333,844.16,64.03666667,384.22,18.0,0.455150682,21
Brad Miller (0000142022),240422,Culpeper of Leola,240422,Culpeper of Leola,Leola,33 Glenola Dr,PA,17540,"33 Glenola Dr Leola, PA 17540",1430024,40.086228,-76.181744,J,Monday/Thursday,8,8,1.0,2.25,413.685,3309.48,118.3225,946.58,71.0,0.286020765,24
Lancaster Office (0000142002),240444,HOPEWELL CHRISTIAN FELLOWSHIP,240444,HOPEWELL CHRISTIAN FELLOWSHIP,Elverson,2286 Hopewell Rd,PA,19520,"2286 Hopewell Rd Elverson, PA 19520",1430027,40.177099,-75.840391,K,Tuesday,6,7,1.166666667,2.333333333,372.6516667,2235.91,134.07,804.42,30.0,0.359772978,24
Mike Schlitter (0000142011),240461,HUNTER KEYSTONE PETERBILT LP,240461,HUNTER KEYSTONE PETERBILT LP,Lancaster,1463 Manheim Pike,PA,17601,"1463 Manheim Pike Lancaster, PA 17601",1430025,40.07324,-76.333036,J,Tuesday/Friday,6,6,1.0,3.333333333,143.075,858.45,59.01333333,354.08,60.0,0.412464325,21
Robert Diller (0000142017),240462,HVAC DISTRIBUTORS INC#,240462,HVAC DISTRIBUTORS INC#,Mount Joy,2 Old Market St,PA,17552,"2 Old Market St Mount Joy, PA 17552",1430035,40.111637,-76.503679,P,Tuesday/Friday,12,15,1.25,2.166666667,719.4025,8632.83,289.29,3471.48,144.0,0.402125375,34
Brad Miller (0000142022),240464,HY LINE NORTH AMERICAN LLC,240464,HY LINE NORTH AMERICAN LLC,ELIZABETHTOWN,79 Industrial Rd,PA,17022,"79 Industrial Rd ELIZABETHTOWN, PA 17022",1430034,40.16379,-76.64908,P,Monday/Thursday,9,9,1.0,2.777777778,1076.254444,9686.29,411.6711111,3705.04,129.0,0.382503518,37
Mike Schlitter (0000142011),240499,PAVLIKS CARPET CLEANING#,240499,PAVLIKS CARPET CLEANING#,Manheim,863 Aarons Ln,PA,17545,"863 Aarons Ln Manheim, PA 17545",1430035,40.229277,-76.455629,P,Tuesday/Friday,24,27,1.125,1.625,200.94625,4822.71,57.43041667,1378.33,61.0,0.285799893,0
Robert Diller (0000142017),240578,JONES DEALERSHIPS INC,240578,JONES DEALERSHIPS INC,Lancaster,1335 Manheim Pike,PA,17601,"1335 Manheim Pike Lancaster, PA 17601",1430025,40.066964,-76.327191,J,Tuesday/Friday,26,42,1.615384615,4.115384615,610.6719231,15877.47,233.6888462,6075.91,341.0,0.382674948,15
Lancaster Office (0000142002),240617,AUTO ONE#,240617,AUTO ONE#,Lancaster,1282 Manheim Pike,PA,17601,"1282 Manheim Pike Lancaster, PA 17601",1430025,40.063932,-76.325396,J,Tuesday/Friday,9,10,1.111111111,1.888888889,136.0444444,1224.4,52.65777778,473.92,26.0,0.387063051,21
Brad Miller (0000142022),240707,LANC AIRPORT AUTHORITY 2*,240707,LANC AIRPORT AUTHORITY 2*,Lititz,500 AIRPORT RD Suite G,PA,17543,"500 AIRPORT RD Suite G Lititz, PA 17543",1430024,40.1184,-76.30163,J,Monday/Thursday,6,10,1.666666667,3.166666667,247.2183333,1483.31,113.3066667,679.84,64.0,0.458326311,0
Brad Miller (0000142022),240713,LANC BIBLE COLLEGE*,240713,LANC BIBLE COLLEGE*,Lancaster,901 Eden Rd,PA,17601,"901 Eden Rd Lancaster, PA 17601",1430025,40.073557,-76.288151,J,Tuesday/Friday,8,14,1.75,3.5,1422.00125,11376.01,474.37875,3795.03,187.0,0.33359939,33
Mike Schlitter (0000142011),240716,LANC BRETHREN IN CHRIST,240716,LANC BRETHREN IN CHRIST,Lancaster,1865 Fruitville Pike,PA,17601,"1865 Fruitville Pike Lancaster, PA 17601",1430025,40.0733,-76.318481,J,Tuesday/Friday,7,10,1.428571429,2.857142857,285.01,1995.07,106.6942857,746.86,34.0,0.37435278,36
Brad Miller (0000142022),240722,LANC COUNTY ASSOC OF REALTORS#,240722,LANC COUNTY ASSOC OF REALTORS#,Lancaster,1930 Harrington Dr,PA,17601,"1930 Harrington Dr Lancaster, PA 17601",1430025,40.07551,-76.3204,J,Tuesday/Friday,6,8,1.333333333,2.5,292.3333333,1754.0,132.3666667,794.2,20.0,0.452793615,36
Robert Diller (0000142017),240727,LANC COUNTYWIDE COMMUNICATIONS,240727,LANC COUNTYWIDE COMMUNICATIONS,Manheim,28 S Charlotte St,PA,17545,"28 S Charlotte St Manheim, PA 17545",1430035,40.16199,-76.39639,P,Tuesday/Friday,6,11,1.833333333,2.166666667,135.4766667,812.86,62.83666667,377.02,40.0,0.463819108,21
Mike Schlitter (0000142011),240729,LANC CTY CAREER TECHNOLOG#,240729,LANC CTY CAREER TECHNOLOG#,Willow Street,1730 Hans Herr Dr,PA,17584,"1730 Hans Herr Dr Willow Street, PA 17584",1430025,39.984759,-76.266395,J,Tuesday/Friday,13,21,1.615384615,4.692307692,9873.292308,128352.8,3691.627692,47991.16,1854.0,0.373900375,4
Robert Diller (0000142017),240746,LANC HOUSING AUTHORITY,240746,LANC HOUSING AUTHORITY,Lancaster,325 Church St,PA,17602,"325 Church St Lancaster, PA 17602",1430024,40.035319,-76.302108,J,Monday/Thursday,7,7,1.0,1.571428571,288.6614286,2020.63,93.84285714,656.9,46.0,0.325096628,36
Mike Schlitter (0000142011),240755,LANC MORAVIAN CHURCH#,240755,LANC MORAVIAN CHURCH#,Lancaster,227 N Queen St,PA,17603,"227 N Queen St Lancaster, PA 17603",1430024,40.04196,-76.30624,J,Monday/Thursday,7,10,1.428571429,4.714285714,662.4585714,4637.21,277.0985714,1939.69,65.0,0.418288152,15
Robert Diller (0000142017),240765,LANC PLUMBING & HEATING#,240765,LANC PLUMBING & HEATING#,East Petersburg,1184 Enterprise Rd,PA,17520,"1184 Enterprise Rd East Petersburg, PA 17520",1430035,40.08825,-76.353096,P,Tuesday/Friday,10,10,1.0,2.3,211.561,2115.61,86.279,862.79,33.0,0.407820912,0
Robert Diller (0000142017),240777,LANCASTER TOYOTA INC#,240777,LANCASTER TOYOTA INC#,East Petersburg,5270 Main St,PA,17520,"5270 Main St East Petersburg, PA 17520",1430035,40.089401,-76.346693,P,Tuesday/Friday,11,21,1.909090909,11.18181818,1791.095455,19702.05,683.5554545,7519.11,472.0,0.381640997,17
Pete Annick (0000142010),240798,LANCASTER LEBANON IU 13,240798,LANCASTER LEBANON IU 13,Lancaster,1020 New Holland Ave,PA,17601,"1020 New Holland Ave Lancaster, PA 17601",1430025,40.054373,-76.282469,J,Tuesday/Friday,13,20,1.538461538,9.307692308,599.8623077,7798.21,-121.9884615,-1585.85,274.0,-0.203360771,15
Pete Annick (0000142010),240814,LANDIS HOMES RETIREMENTMED#,240814,LANDIS HOMES RETIREMENTMED#,Lititz,1001 E Oregon Rd,PA,17543,"1001 E Oregon Rd Lititz, PA 17543",1430024,40.11204,-76.26861,J,Monday/Thursday,14,16,1.142857143,2.785714286,423.8714286,5934.2,205.8828571,2882.36,137.0,0.485720063,24
Brian Deiling (0000142018),240825,LAUREL MALL OFFICE,240825,LAUREL MALL OFFICE,Hazleton,106 Laurel Mall Drive,PA,18202,"106 Laurel Mall Drive Hazleton, PA 18202",1430028,40.986735,-76.0125,K,Wednesday,10,25,2.5,6.3,1658.804,16588.04,466.332,4663.32,538.0,0.281125437,22
Brian Deiling (0000142018),240844,LEBANON SCHOOL DISTRICT,240844,LEBANON SCHOOL DISTRICT,Lebanon,1000 S 8th St,PA,17042,"1000 S 8th St Lebanon, PA 17042",1430035,40.326378,-76.421484,P,Tuesday/Friday,19,24,1.263157895,1.578947368,271.7484211,5163.22,109.9447368,2088.95,143.0,0.404582799,36
Mike Schlitter (0000142011),240847,LEBANON VALLEY EXPO,240847,LEBANON VALLEY EXPO,Lebanon,80 Rocherty Rd,PA,17042,"80 Rocherty Rd Lebanon, PA 17042",1430035,40.302691,-76.41304,P,Tuesday/Friday,11,12,1.090909091,2.636363636,718.44,7902.84,267.5654545,2943.22,118.0,0.372425609,34
Mike Schlitter (0000142011),240899,LITITZ CHURCH OF BRETHREN,240899,LITITZ CHURCH OF BRETHREN,Lititz,300 W Orange St,PA,17543,"300 W Orange St Lititz, PA 17543",1430024,40.153335,-76.314533,J,Monday/Thursday,14,22,1.571428571,5.428571429,1345.274286,18833.84,512.53,7175.42,237.0,0.380985503,33
Mike Schlitter (0000142011),240902,LITITZ MORAVIAN CHURCH,240902,LITITZ MORAVIAN CHURCH,Lititz,8 Church Sq,PA,17543,"8 Church Sq Lititz, PA 17543",1430024,40.155672,-76.302458,J,Monday/Thursday,11,14,1.272727273,2.181818182,183.54,2018.94,77.92454545,857.17,33.0,0.424564375,0
Mike Schlitter (0000142011),240906,LITITZ SPRINGS PARK***,240906,LITITZ SPRINGS PARK***,Lititz,18 N Broad St,PA,17543,"18 N Broad St Lititz, PA 17543",1430024,40.158212,-76.307837,J,Monday/Thursday,11,14,1.272727273,3.272727273,585.2309091,6437.54,245.5418182,2700.96,89.0,0.419563995,15
Martin Carberry (0000142016),240911,Littlestown Area School Distri,240911,Littlestown Area School Distri,Littlestown,162 Newark St,PA,17340,"162 Newark St Littlestown, PA 17340",1430039,39.752392,-77.088627,L,Thursday,10,14,1.4,3.0,1461.313,14613.13,596.204,5962.04,108.0,0.407991991,3
Brad Miller (0000142022),240929,LONGENECKERS HATCHERY INC,240929,LONGENECKERS HATCHERY INC,ELIZABETHTOWN,1110 S Market St,PA,17022,"1110 S Market St ELIZABETHTOWN, PA 17022",1430034,40.141185,-76.593603,P,Monday/Thursday,14,17,1.214285714,4.357142857,934.2564286,13079.59,287.7328571,4028.26,147.0,0.307980602,23
Mike Schlitter (0000142011),241023,MANOR CHURCH,241023,MANOR CHURCH,Lancaster,530 Central Manor Rd,PA,17603,"530 Central Manor Rd Lancaster, PA 17603",1430025,40.020619,-76.433155,J,Tuesday/Friday,11,14,1.272727273,3.0,871.1372727,9582.51,345.9527273,3805.48,132.0,0.397127684,6
Brad Miller (0000142022),241036,MARKEYS BLDG MAINT #,241036,MARKEYS BLDG MAINT #,Red Lion,211 S Charles St,PA,17356,"211 S Charles St Red Lion, PA 17356",1430040,39.897668,-76.603982,L,Tuesday/Friday,11,13,1.181818182,1.363636364,1267.115455,13938.27,411.2509091,4523.76,113.0,0.324556778,12
Robert Diller (0000142017),241049,MARY GAULS QUALITY CLEANING#,241049,MARY GAULS QUALITY CLEANING#,Lancaster,816 State St,PA,17603,"816 State St Lancaster, PA 17603",1430025,40.05081,-76.32375,J,Tuesday/Friday,10,11,1.1,2.0,258.145,2581.45,100.834,1008.34,60.0,0.390609929,36
Pete Annick (0000142010),241156,MORAVIAN MANOR#,241156,MORAVIAN MANOR#,Lititz,300 W Lemon St,PA,17543,"300 W Lemon St Lititz, PA 17543",1430024,40.152245,-76.311851,J,Monday/Thursday,7,9,1.285714286,1.571428571,458.9114286,3212.38,135.36,947.52,49.0,0.294958878,24
Mike Schlitter (0000142011),241169,MOUNTVILLE CHURCH OF THE BRETH,241169,MOUNTVILLE CHURCH OF THE BRETH,Mountville,60 Clay St,PA,17554,"60 Clay St Mountville, PA 17554",1430040,40.04174,-76.427358,L,Tuesday/Friday,9,10,1.111111111,2.222222222,140.5044444,1264.54,58.04666667,522.42,40.0,0.413130466,21
Mike Schlitter (0000142011),241231,NEW CONCEPT MFG LLC#,241231,NEW CONCEPT MFG LLC#,Emigsville,320 Busser Rd,PA,17318,"320 Busser Rd Emigsville, PA 17318",1430040,40.01844,-76.71962,L,Tuesday/Friday,31,39,1.258064516,3.516129032,511.9683871,15871.02,56.20258065,1742.28,455.0,0.109777443,8
Pete Annick (0000142010),241236,NEW HOLLAND AMBULANCE,241236,NEW HOLLAND AMBULANCE,New Holland,101 E Franklin St,PA,17557,"101 E Franklin St New Holland, PA 17557",1430024,40.101635,-76.088274,J,Monday/Thursday,7,7,1.0,2.714285714,296.5857143,2076.1,118.7214286,831.05,42.0,0.40029382,36
Mike Schlitter (0000142011),241250,Mission Church Pennsylvania#,241250,Mission Church Pennsylvania#,Lancaster,651 Lampeter Rd,PA,17602,"651 Lampeter Rd Lancaster, PA 17602",1430024,40.0262,-76.264635,J,Monday/Thursday,9,11,1.222222222,5.666666667,667.4733333,6007.26,259.7388889,2337.65,151.0,0.389137477,15
